Year,Month,Month_Num,Rainfall_mm,Avg_Temp,Max_Temp
2021,Feb,2,2.73,19.13,20.59
2021,Mar,3,2.99,19.08,20.08
2021,Apr,4,8.34,20.19,21.91
2021,May,5,1.32,20.56,21.5
2021,Jun,6,11.88,21.25,22.41
2021,Jul,7,1.87,22.66,23.66
2021,Aug,8,0.93,23.64,25.25
2021,Sep,9,9.46,24.5,25.69
2021,Oct,10,0.85,23.26,25.69
2021,Nov,11,59.1,22.52,23.52
2021,Dec,12,6.01,20.73,22.06
2022,Jan,1,21.32,20.08,21.5
2022,Feb,2,8.62,19.5,20.83
2022,Mar,3,5.59,18.97,20.32
2022,Apr,4,6.63,19.45,20.69
2022,May,5,3.92,20.47,21.88
2022,Jun,6,3.51,21.42,22.55
2022,Jul,7,7.83,22.12,23.13
2022,Aug,8,4.21,23.02,23.84
2022,Sep,9,22.4,24.23,25.46
2022,Oct,10,7.57,23.42,25.46
2022,Nov,11,11.4,22.69,24.04
2022,Dec,12,16.3,21.88,23.32
2023,Jan,1,6.12,20.5,21.69
2023,Feb,2,2.11,19.06,21.16
2023,Mar,3,2.56,20.49,22.21
2023,Apr,4,3.14,20.77,22.94
2023,May,5,0.9,21.42,23.49
2023,Jun,6,15.59,22.98,24.58
2023,Jul,7,0.33,23.93,25.02
2023,Aug,8,6.01,24.9,25.87
2023,Sep,9,3.4,24.78,25.87
2023,Oct,10,10.17,25.35,25.87
2023,Nov,11,14.49,23.56,25.16
2023,Dec,12,9.74,22.3,23.5
2024,Jan,1,22.14,21.4,23.01
2024,Feb,2,11.35,21.18,22.37
2024,Mar,3,1.27,20.13,21.66
2024,Apr,4,3.26,20.77,22.06
2024,May,5,6.38,21.21,23.16
2024,Jun,6,4.11,22.43,23.62
2024,Jul,7,0.51,23.4,25.16
2024,Aug,8,0.5,24.36,25.14
2024,Sep,9,11.15,23.88,24.99
2024,Oct,10,9.82,23.82,24.99
2024,Nov,11,28.97,22.55,24.18
2024,Dec,12,25.42,21.67,23.54
